CLNDR_DT,Revenue,CLNDR_DT_MONTHSEQ,Auth_Date,Auth_Date_MonthSeq,Category,project
30-06-2023,20270.25,174,30-06-2023,174,Area3,Project11802
31-07-2023,4552.99,175,30-06-2023,174,Area3,Project11802
31-08-2023,0,176,30-06-2023,174,Area3,Project11802
30-09-2023,0,177,30-06-2023,174,Area3,Project11802
31-10-2023,0,178,30-06-2023,174,Area3,Project11802
30-11-2023,1579.526443,179,30-06-2023,174,Area3,Project11802
31-12-2023,8786.683546,180,30-06-2023,174,Area3,Project11802
31-01-2024,459.19,181,30-06-2023,174,Area3,Project11802
29-02-2024,199.0311598,182,30-06-2023,174,Area3,Project11802
31-03-2024,0,183,30-06-2023,174,Area3,Project11802
28-02-2023,0,170,28-02-2023,170,Area1,Project194
31-03-2023,0,171,28-02-2023,170,Area1,Project194
30-04-2023,378.1155209,172,28-02-2023,170,Area1,Project194
31-05-2023,-73.00305684,173,28-02-2023,170,Area1,Project194
30-06-2023,-0.00620856,174,28-02-2023,170,Area1,Project194
31-07-2023,1830.584981,175,28-02-2023,170,Area1,Project194
31-08-2023,910.2406683,176,28-02-2023,170,Area1,Project194
30-09-2023,-235.84,177,28-02-2023,170,Area1,Project194
31-10-2023,0.01,178,28-02-2023,170,Area1,Project194
30-11-2023,0,179,28-02-2023,170,Area1,Project194
30-09-2023,0,177,30-09-2023,177,Area4,Project12458
31-10-2023,0,178,30-09-2023,177,Area4,Project12458
30-11-2023,0,179,30-09-2023,177,Area4,Project12458
31-12-2023,0,180,30-09-2023,177,Area4,Project12458
31-01-2024,115207.49,181,30-09-2023,177,Area4,Project12458
29-02-2024,342104.64,182,30-09-2023,177,Area4,Project12458
31-03-2024,324019.24,183,30-09-2023,177,Area4,Project12458
30-04-2024,433501.86,184,30-09-2023,177,Area4,Project12458
31-05-2024,524964.01,185,30-09-2023,177,Area4,Project12458
31-05-2023,1436.5,173,31-05-2023,173,Area3,Project104
30-06-2023,115.3723036,174,31-05-2023,173,Area3,Project104
31-07-2023,2531.105845,175,31-05-2023,173,Area3,Project104
31-08-2023,2726.080375,176,31-05-2023,173,Area3,Project104
30-09-2023,0,177,31-05-2023,173,Area3,Project104
30-04-2023,0,172,30-04-2023,172,Area1,Project1687
31-05-2023,5606.01,173,30-04-2023,172,Area1,Project1687
31-03-2023,0,171,31-03-2023,171,Area3,Project14046
30-04-2023,2208.590348,172,31-03-2023,171,Area3,Project14046
31-05-2023,605.7508066,173,31-03-2023,171,Area3,Project14046
30-06-2023,6418.830363,174,31-03-2023,171,Area3,Project14046
31-07-2023,5137.175574,175,31-03-2023,171,Area3,Project14046
31-08-2023,3116.88356,176,31-03-2023,171,Area3,Project14046
30-09-2023,4036.215785,177,31-03-2023,171,Area3,Project14046
31-10-2023,4383.045672,178,31-03-2023,171,Area3,Project14046
30-11-2023,4870.729095,179,31-03-2023,171,Area3,Project14046
31-12-2023,12279.70599,180,31-03-2023,171,Area3,Project14046
31-01-2024,11715.94,181,31-03-2023,171,Area3,Project14046
29-02-2024,1088.580527,182,31-03-2023,171,Area3,Project14046
31-05-2023,0,173,31-05-2023,173,Area2,Project7112
30-06-2023,0,174,31-05-2023,173,Area2,Project7112
31-07-2023,0,175,31-05-2023,173,Area2,Project7112
31-08-2023,0,176,31-05-2023,173,Area2,Project7112
30-09-2023,0,177,31-05-2023,173,Area2,Project7112
31-10-2023,159154.5844,178,31-05-2023,173,Area2,Project7112
30-11-2023,87082.26065,179,31-05-2023,173,Area2,Project7112
31-12-2023,87675.99101,180,31-05-2023,173,Area2,Project7112
31-01-2024,235543.1946,181,31-05-2023,173,Area2,Project7112
29-02-2024,201683.9193,182,31-05-2023,173,Area2,Project7112
31-03-2024,211574.3804,183,31-05-2023,173,Area2,Project7112
30-04-2024,202222.673,184,31-05-2023,173,Area2,Project7112
31-05-2023,0,173,31-05-2023,173,Area3,Project14391
30-06-2023,0,174,31-05-2023,173,Area3,Project14391
31-07-2023,10489.95995,175,31-05-2023,173,Area3,Project14391
31-08-2023,21819.96089,176,31-05-2023,173,Area3,Project14391
30-09-2023,39447.66269,177,31-05-2023,173,Area3,Project14391
31-10-2023,25416.42162,178,31-05-2023,173,Area3,Project14391
30-11-2023,64818.99672,179,31-05-2023,173,Area3,Project14391
31-12-2023,48162.92999,180,31-05-2023,173,Area3,Project14391
31-01-2024,54812.99,181,31-05-2023,173,Area3,Project14391
29-02-2024,44628.90733,182,31-05-2023,173,Area3,Project14391
31-03-2024,50370.02508,183,31-05-2023,173,Area3,Project14391
30-04-2024,33864.09389,184,31-05-2023,173,Area3,Project14391
30-06-2023,0,174,30-06-2023,174,Area6,Project7105
31-07-2023,0,175,30-06-2023,174,Area6,Project7105
31-08-2023,0,176,30-06-2023,174,Area6,Project7105
30-09-2023,0,177,30-06-2023,174,Area6,Project7105
31-10-2023,0,178,30-06-2023,174,Area6,Project7105
30-11-2023,0,179,30-06-2023,174,Area6,Project7105
